PC1,PC2,Filename,Full title,Display title,Author,Genre,Publication date,,,,,,,,,,,,,,,,,,
0.016126827,-0.015342887,1648.wilkins.mathematicall-magick.eebo.txt,"Mathematicall magick, or, The vvonders that may be performed by mechanicall geometry in two books : concerning mechanicall povvers [and] motions : being one of the most easie, pleasant, usefull, (and yet most neglected) part of mathematicks : not before treated of in this language","Mathematical Magic, or the Wonders that may be Performed by Mechanical Geometry","Wilkins, John",Royal Society text,1648,,,,,,,,,,,,,,,,,,
-0.047082043,-0.004468223,1649.cavendish-w.country-captaine.eebo.txt,"The country captaine and the Varietie, two comedies written by a person of honor ; lately presented by His Majesties servants at the Black-Fryars.",The Country Captain and the Variety,"Newcastle, William Cavendish",Royal Society text,1649,,,,,,,,,,,,,,,,,,
-0.006999865,-0.004077117,1649.wilkins.discourse-beauty.eebo.txt,A discourse concerning the beauty of providence in all the rugged passages of it very seasonable to quiet and support the heart in these times of publick confusion,A Discourse Concerning the Beauty of Providence,"Wilkins, John",Royal Society text,1649,,,,,,,,,,,,,,,,,,
0.012139023,0.011491073,1651.ball.printing-regulation.eebo.txt,A briefe treatise concerning the regulating of printing humbly presented to the Parliament of England,A Brief Treatise Concerning the Regulation of Printing,"Ball, William",Royal Society text,1651,,,,,,,,,,,,,,,,,,
0.040529244,-0.000797786,1651.glisson.treatise-rickets.eebo.txt,A Treatise of the RICKETS: Being a Diseas common to CHILDREN,A Treatise of Rickets,"Glisson, Francis",Royal Society text,1651,,,,,,,,,,,,,,,,,,
-0.007500227,-0.008129819,1651.wilkins.ecclesiastes.eebo.txt,"Ecclesiastes, OR, A discourse concerning the Gift OF PREACHING As it fals under the Rules of Art. SHEWING The most proper Rules and Directions, for Method, Invention, Books, Expression, whereby a Minister may be furnished with such abilities as may make him a Workman that needs not to be ashamed. Very seasonable for these Times, wherein the Harvest is great, and the skilful Labourers but few.","Ecclesistes, or a Discourse Concerning the Gift of Preaching","Wilkins, John",Royal Society text,1651,,,,,,,,,,,,,,,,,,
0.008299137,-0.004148191,1652.charleton.darknes-atheism.eebo.txt,The darknes of atheism dispelled by the light of nature a physico-theologicall treatise,The Darkness of Atheism,"Charleton, Walter",Royal Society text,1652,,,,,,,,,,,,,,,,,,
-0.012170053,-0.003237277,1652.digby.infallibility.eebo.txt,"A discovrse concerning infallibility in religion written by a person of qvality, to an eminent lord.",Discourse Concerning Infallibility,"Digby, Kenelm",Royal Society text,1652,,,,,,,,,,,,,,,,,,
0.02436739,0.001721305,1652.ward.philosophicall-essay.eebo.txt,A philosophicall essay towards an eviction of the being and attributes of God. Immortality of the souls of men. Truth and authority of Scripture. together with an index of the heads of every particular part.,A Philosophical Essay Towards an Eviction,"Ward, Seth",Royal Society text,1652,,,,,,,,,,,,,,,,,,
-0.011028848,0.004157038,1653.wilkins.gift-prayer.eebo.txt,"A discourse concerning the gift of prayer shewing what it is, wherein it consists, and how far it is attainable by industry : with divers useful and proper directions to that purpose, both in respect of matter, method, expression / by John Wilkins ... ; whereunto may be added, Ecclesiastes, or, A discourse concerning the gift of preaching by the same author.",A Discourse Concerning the Gift of Prayer,"Wilkins, John",Royal Society text,1653,,,,,,,,,,,,,,,,,,
